"Rank","Country","# 65+ (in millions)"
"1","China","166.37"
"2","India","84.9"
"3","United States","52.76"
"4","Japan","35.58"
"5","Russian Federation","21.42"
"6","Brazil","17.79"
"7","Germany","17.78"
"8","Indonesia","15.16"
"9","Italy","13.76"
"10","France","13.16"
"11","United Kingdom","12.24"
"12","Pakistan","9.31"
"13","Mexico","9.17"
"14","Spain","8.99"
"15","Bangladesh","8.35"
"16","South Korea","7.83"
"17","Thailand","7.61"
"18","Turkey","7.27"
"19","Ukraine","6.94"
"20","Poland","6.72"
"21","Viet Nam","6.72"
"22","Canada","6.44"
"23","Philippines","5.51"
"24","Nigeria","5.43"
"25","Iran","5.12"
"26","Argentina","5.1"
"27","Colombia","4.63"
"28","Australia","4"
"29","Ethiopia","3.92"
"30","Egypt","3.86"
"31","Romania","3.52"
"32","South Africa","3.51"
"33","Taiwan","3.27"
"34","Netherlands","3.27"
"35","Myanmar","3.19"
"36","Algeria","2.67"
"37","Peru","2.66"
"38","Democratic Republic of the Congo","2.6"
"39","Morocco","2.53"
"40","North Korea","2.44"
"41","Greece","2.33"
"42","Chile","2.26"
"43","Portugal","2.24"
"44","Belgium","2.15"
"45","Malaysia","2.11"
"47","Sweden","2.05"
"48","Venezuala","1.95"
"49","Hungary","1.89"
"50","Sri Lanka","1.71"